model,year,price,transmission,mileage,fuel_type,engine_size,mileage2,fuel_type2,engine_size2,reference
 C Class,2019,30980.0,Semi-Auto,16.0,,,61.4,Diesel,2,/ad/25349141
 C Class,2020,33980.0,Semi-Auto,16.0,,,61.4,Diesel,2,/ad/25349092
 C Class,2020,32980.0,Semi-Auto,9.0,,,61.4,Diesel,2,/ad/25279175
 C Class,2019,36980.0,Semi-Auto,16.0,,,61.4,Diesel,2,/ad/25279177
 C Class,2019,36980.0,Semi-Auto,16.0,,,61.4,Diesel,2,/ad/25279178
 C Class,2020,30480.0,Semi-Auto,16.0,,,64.2,Diesel,2,/ad/25277994
 C Class,2020,30480.0,Semi-Auto,16.0,,,64.2,Diesel,2,/ad/25277995
 C Class,2019,30480.0,Semi-Auto,249.0,,,64.2,Diesel,2,/ad/25277999
 C Class,2019,31000.0,Semi-Auto,13.0,,,64.2,Diesel,2,/ad/25278000
 C Class,2019,67495.0,Semi-Auto,700.0,,,28,Petrol,4,/ad/25275635
 C Class,2019,36999.0,Automatic,499.0,,,44.1,Petrol,1.5,/ad/25279214
 C Class,2014,20495.0,Automatic,10.0,31,,64.2,Diesel,2.1,/ad/25426303
 C Class,2020,44995.0,Semi-Auto,250.0,,,42.2,Petrol,2,/ad/25442127
 C Class,2019,31799.0,Automatic,999.0,,,46.3,Petrol,1.5,/ad/25278513
 C Class,2019,31999.0,Automatic,999.0,,,51.4,Diesel,2,/ad/25278515
 C Class,2019,31995.0,Automatic,999.0,,,64.2,Diesel,2,/ad/25278517
 C Class,2019,46755.0,Automatic,168.0,,,29.7,Petrol,3,/ad/25278945
 C Class,2020,29999.0,Semi-Auto,100.0,,,53.3,Diesel,2,/ad/25278924
 C Class,2019,67940.0,Automatic,237.0,,,28,Petrol,4,/ad/25253162
 C Class,2019,36995.0,Automatic,100.0,,,44.1,Petrol,1.5,/ad/25279450
 C Class,2019,48990.0,Semi-Auto,800.0,,,29.1,Petrol,3,/ad/25276921
 C Class,2020,33990.0,Semi-Auto,100.0,,,57.7,Diesel,2,/ad/25276925
 C Class,2019,31990.0,Automatic,100.0,,,64.2,Diesel,2,/ad/25276943
 C Class,2019,31990.0,Automatic,20.0,,,46.3,Petrol,1.5,/ad/25276947
 C Class,2020,33995.0,Semi-Auto,30.0,,,64.2,Diesel,2,/ad/25406715
 C Class,2020,33400.0,Semi-Auto,213.0,,,64.2,Diesel,2,/ad/25342698
 C Class,2019,30899.0,Automatic,860.0,,,46.3,Petrol,1.5,/ad/25279589
 C Class,2019,28000.0,Automatic,584.0,,,53.3,Diesel,2,/ad/25277496
 C Class,2020,31480.0,Semi-Auto,19.0,,,64.2,Diesel,2,/ad/25277505
 C Class,2019,29480.0,Semi-Auto,34.0,,,47.1,Petrol,1.5,/ad/25276836
 C Class,2019,28940.0,Automatic,37.0,,,44.1,Petrol,2,/ad/25279852
 C Class,2020,54000.0,Semi-Auto,250.0,,,29.1,Petrol,3,/ad/25375199
 C Class,2020,65990.0,Semi-Auto,999.0,,,28,Petrol,4,/ad/25277121
 C Class,2019,32995.0,Semi-Auto,24.0,,,42.2,Petrol,2,/ad/25275760
 C Class,2019,37321.0,Automatic,50.0,,,54.3,Diesel,1.6,/ad/25254007
 C Class,2019,38521.0,Automatic,50.0,,,61.4,Diesel,2,/ad/25254008
 C Class,2019,26995.0,Semi-Auto,9.0,,,60.1,Diesel,1.6,/ad/25275742
 C Class,2019,26876.0,Automatic,901.0,,,45.6,Petrol,1.5,/ad/25253924
 C Class,2019,29995.0,Semi-Auto,1.0,,,57.7,Diesel,2,/ad/25275751
 C Class,2019,30995.0,Semi-Auto,1.0,,,46.3,Diesel,2,/ad/25275752
 C Class,2019,26995.0,Semi-Auto,1.0,,,54.3,Diesel,1.6,/ad/25275753
 C Class,2019,29995.0,Semi-Auto,9.0,,,42.8,Petrol,2,/ad/25275759
 C Class,2019,38995.0,Automatic,500.0,,,29.7,Petrol,3,/ad/25275652
 C Class,2019,61995.0,Automatic,100.0,,,27.2,Petrol,4,/ad/25275671
 C Class,2019,63495.0,Automatic,500.0,,,28,Petrol,4,/ad/25275695
 C Class,2020,41995.0,Semi-Auto,100.0,,,217.3,Hybrid,2,/ad/25247654
 C Class,2019,31890.0,Semi-Auto,89.0,,,54.3,Diesel,1.6,/ad/25352146
 C Class,2019,59950.0,Automatic,152.0,,,27.2,Petrol,4,/ad/25272168
 C Class,2019,42995.0,Semi-Auto,101.0,,,29.7,Petrol,3,/ad/25275902
 C Class,2019,28995.0,Semi-Auto,100.0,,,64.2,Diesel,2,/ad/25275835
 C Class,2019,29889.0,Automatic,980.0,,,57.7,Diesel,2,/ad/25272266
 C Class,2019,26499.0,Manual,890.0,,,64.2,Diesel,1.6,/ad/25272267
 C Class,2019,26949.0,Automatic,608.0,,,42.2,Petrol,2,/ad/25272114
 C Class,2019,33995.0,Semi-Auto,18.0,,,42.8,Petrol,2,/ad/25275735
 C Class,2019,30995.0,Semi-Auto,16.0,,,44.1,Petrol,2,/ad/25275736
 C Class,2019,29995.0,Semi-Auto,9.0,,,55.4,Diesel,2,/ad/25275741
 C Class,2020,34500.0,Semi-Auto,100.0,,,48.7,Diesel,2,/ad/25405746
 C Class,2020,34500.0,Semi-Auto,100.0,,,48.7,Diesel,2,/ad/25405747
 C Class,2020,30500.0,Semi-Auto,100.0,,,64.2,Diesel,2,/ad/25405748
 C Class,2020,34500.0,Semi-Auto,100.0,,,48.7,Diesel,2,/ad/25405754
 C Class,2020,34500.0,Semi-Auto,100.0,,,48.7,Diesel,2,/ad/25405755
 C Class,2020,31000.0,Semi-Auto,100.0,,,64.2,Diesel,2,/ad/25405758
 C Class,2020,30500.0,Semi-Auto,700.0,,,64.2,Diesel,2,/ad/25405760
 C Class,2020,30500.0,Semi-Auto,100.0,,,64.2,Diesel,2,/ad/25405761
 C Class,2019,29399.0,Semi-Auto,283.0,,,42.2,Petrol,1.6,/ad/25276541
 C Class,2019,35299.0,Semi-Auto,100.0,,,55.4,Diesel,2,/ad/25276675
 C Class,2019,66699.0,Semi-Auto,630.0,,,28.5,Petrol,4,/ad/25276684
 C Class,2019,36599.0,Semi-Auto,124.0,,,41.5,Petrol,2,/ad/25276696
 C Class,2019,49499.0,Semi-Auto,358.0,,,29.1,Petrol,3,/ad/25276699
 C Class,2019,29749.0,Semi-Auto,10.0,,,61.4,Diesel,2,/ad/25272829
 C Class,2020,29990.0,Semi-Auto,99.0,,,64.2,Diesel,2,/ad/25278434
 C Class,2020,33990.0,Semi-Auto,99.0,,,48.7,Diesel,2,/ad/25278446
 C Class,2019,25000.0,Semi-Auto,481.0,,,45.6,Petrol,1.5,/ad/25278661
 C Class,2019,62199.0,Semi-Auto,95.0,,,28.5,Petrol,4,/ad/25276591
 C Class,2019,23499.0,Manual,712.0,,,47.1,Petrol,1.6,/ad/25276390
 C Class,2019,32099.0,Semi-Auto,724.0,,,64.2,Diesel,2,/ad/25346234
 C Class,2019,31400.0,Semi-Auto,100.0,,,64.2,Diesel,2,/ad/25247864
 C Class,2020,30500.0,Semi-Auto,100.0,,,64.2,Diesel,2,/ad/25276753
 C Class,2019,30995.0,Semi-Auto,14.0,,,42.8,Petrol,2,/ad/25273791
 C Class,2019,29995.0,Semi-Auto,21.0,,,61.4,Diesel,2,/ad/25273792
 C Class,2019,29995.0,Semi-Auto,22.0,,,61.4,Diesel,2,/ad/25273794
 C Class,2019,29995.0,Semi-Auto,13.0,,,55.4,Diesel,2,/ad/25273797
 C Class,2019,29995.0,Automatic,14.0,,,42.8,Petrol,2,/ad/25273821
 C Class,2020,39995.0,Semi-Auto,328.0,,,44.1,Petrol,1.5,/ad/25273860
 C Class,2019,31995.0,Semi-Auto,37.0,,,44.1,Petrol,2,/ad/25273789
 C Class,2020,30500.0,Semi-Auto,999.0,,,64.2,Diesel,2,/ad/25276761
 C Class,2020,30500.0,Semi-Auto,199.0,,,64.2,Diesel,2,/ad/25276762
 C Class,2019,23879.0,Manual,551.0,,,47.1,Petrol,1.6,/ad/25272510
 C Class,2019,30349.0,Semi-Auto,438.0,,,44.1,Petrol,2,/ad/25374004
 C Class,2019,67699.0,Automatic,544.0,,,28,Petrol,4,/ad/25274141
 C Class,2019,24789.0,Automatic,428.0,,,44.1,Petrol,1.5,/ad/25274068
 C Class,2019,27199.0,Automatic,754.0,,,46.3,Petrol,1.5,/ad/25274090
 C Class,2019,28599.0,Semi-Auto,970.0,,,60.1,Diesel,1.6,/ad/25272368
 C Class,2019,26289.0,Automatic,650.0,,,46.3,Petrol,1.5,/ad/25274211
 C Class,2018,50799.0,Automatic,639.0,,,31.7,Petrol,4,/ad/25273387
 C Class,2019,27299.0,Automatic,138.0,,,45.6,Petrol,1.5,/ad/25273962
 C Class,2019,66899.0,Semi-Auto,262.0,,,28.5,Petrol,4,/ad/25273023
 C Class,2019,28599.0,Semi-Auto,901.0,,,61.4,Diesel,2,/ad/25272575
 C Class,2019,67159.0,Automatic,883.0,,,28,Petrol,4,/ad/25272928
 C Class,2019,31539.0,Automatic,118.0,,,64.2,Diesel,2,/ad/25272941
 C Class,2019,32068.0,Automatic,23.0,,,64.2,Diesel,2,/ad/25272944
 C Class,2019,26899.0,Automatic,796.0,,,45.6,Petrol,1.5,/ad/25272866
 C Class,2019,27299.0,Automatic,386.0,,,45.6,Petrol,1.5,/ad/25272776
 C Class,2019,24799.0,Automatic,508.0,,,44.1,Petrol,1.5,/ad/25272817
 C Class,2019,33699.0,Semi-Auto,246.0,,,44.1,Petrol,2,/ad/25273918
 C Class,2019,42699.0,Semi-Auto,24.0,,,30.4,Petrol,3,/ad/25273922
 C Class,2019,27999.0,Automatic,649.0,,,46.3,Petrol,1.5,/ad/25272726
 C Class,2019,29995.0,Automatic,9.0,,,61.4,Diesel,2,/ad/25275134
 C Class,2019,25799.0,Semi-Auto,200.0,,,45.6,Petrol,1.5,/ad/25273258
 C Class,2019,25799.0,Semi-Auto,200.0,,,45.6,Petrol,1.5,/ad/25273274
 C Class,2019,30995.0,Automatic,9.0,,,57.7,Diesel,2,/ad/25275099
 C Class,2019,32099.0,Semi-Auto,707.0,,,41.5,Petrol,2,/ad/25273078
 C Class,2019,27199.0,Semi-Auto,930.0,,,45.6,Petrol,1.5,/ad/25273089
 C Class,2019,29998.0,Automatic,50.0,,,45.6,Petrol,1497,/ad/25037382
 C Class,2019,27498.0,Automatic,41.0,,,47.1,Petrol,1497,/ad/25457673
 C Class,2019,27500.0,Automatic,650.0,,,60.1,Diesel,1597,/ad/23957872
 C Class,2019,27400.0,Automatic,348.0,,,61.4,Diesel,1950,/ad/24176325
 C Class,2020,39900.0,Automatic,600.0,,,55.4,Diesel,1950,/ad/25059777
 C Class,2020,61995.0,Automatic,20.0,,,33.6,Petrol,3982,/ad/25064459
 C Class,2019,60298.0,Automatic,25.0,,,28.5,Petrol,3982,/ad/24978642
 C Class,2020,34495.0,Automatic,500.0,,,48.7,Diesel,2,/ad/25152122
 C Class,2020,33599.0,Automatic,500.0,,,64.2,Diesel,2,/ad/25152133
 C Class,2019,30294.0,Automatic,500.0,,,61.4,Diesel,2,/ad/25126991
 C Class,2020,41995.0,Automatic,400.0,,,217.3,Other,2,/ad/25418787
